No,対象業務,要求内容（現場の期待）,入力（Input）,処理（Process）,出力（Output）,主担当部署,AI活用タイプ,技術的難易度,主技術,補助技術,備考 / 補足
13,新規市場調査,新しい業界・業種に対して、想定される課題や導入ハードルなどをリスト化してほしい,対象業界名、自社製品概要,LLMに業界特性分析プロンプト投入 → 一般的な課題・規制・商習慣をリスト化 → Web検索で裏付け情報補強,課題・ハードル一覧（Excel、カテゴリ別整理）,マーケティング部,知的支援,1,生成AI（LLM）,Web検索API,初期仮説生成用。実地ヒアリングで検証必須
14,顧客ヒアリング準備,ヒアリング用の質問案を自動で生成したい,顧客企業情報、ヒアリング目的、自社製品情報,LLMに質問生成プロンプト投入（SPIN法など営業フレームワーク適用） → 質問候補20-30個生成 → カテゴリ別整理,質問案リスト（Word、カテゴリ別）,マーケティング部,知的支援,1,生成AI（LLM）,なし,フレームワーク（SPIN・BANTなど）のプロンプトテンプレート化推奨
15,顧客ヒアリングの要約,ヒアリングの議事メモから、顧客課題・示唆・次アクションを抽出してほしい,議事録テキスト、または音声ファイル,音声ファイルの場合Whisper APIで文字起こし → LLMで構造化抽出（課題/示唆/次アクション） → 各項目を箇条書き整理,要約レポート（Word、課題/示唆/アクション別）,マーケティング部,知的支援,1,生成AI（LLM）,音声認識API（Whisper）,音声品質が低いと認識精度低下。ノイズ除去前処理推奨
16,営業資料の改善,既存スライドのメッセージを、より刺さる表現にリライトしてほしい,既存PowerPointファイル、ターゲット顧客像,PowerPointテキスト抽出 → LLMでターゲット向けリライト → A/Bパターン複数生成,改善版スライド案（PowerPoint、2-3パターン）,マーケティング部,知的支援,1,生成AI（LLM）,PowerPoint API,最終的な刺さり具合は営業現場フィードバックで検証必要
17,提案書の骨子作成,目的・課題・解決策・期待効果を整理した提案スライドの骨子を自動で作りたい,顧客課題メモ、自社ソリューション概要,LLMに提案ストーリー生成プロンプト投入 → 論理構成（課題→解決策→効果）作成 → スライド骨子アウトライン生成,提案骨子（PowerPointアウトライン形式）,マーケティング部,知的支援,1,生成AI（LLM）,PowerPoint API,スライド枚数・構成は人間が最終調整必須
18,顧客別のカスタム提案,過去の議事録や顧客情報を踏まえて、その会社専用っぽい言い回しにカスタマイズした提案メッセージを下書きしてほしい,過去議事録、顧客企業の公開情報、Salesforce顧客データ,過去データをLLMに入力 → 顧客特有の用語・優先事項抽出 → カスタマイズ提案文生成,カスタム提案文（Word）,マーケティング部,知的支援,2,生成AI（LLM）,Salesforce API、RAG,顧客データ量が多い場合RAGで関連情報検索が効果的
19,ニュース収集,指定した業界・企業に関連するニュースを毎朝まとめてほしい,監視キーワードリスト、RSS/ニュースAPI設定,ニュースAPI（Google News API等）で記事収集 → LLMで関連度判定・要約 → メール/Slack自動配信,日次ニュースダイジェスト（Slack/メール）,マーケティング部,オペレーション効率化,1,ニュースAPI,LLM（要約用）、スケジューラ（GAS/cron）,毎朝定期実行。通知先はSlack/メール選択可
20,定型メール作成,よく使う依頼メール・日程調整メールなどのドラフトを自動で組みたい,メールテンプレート、可変部分（宛名・日時など）,LLMにテンプレート+変数入力 → メール文面生成 → 送信前プレビュー,メールドラフト（Outlook/Gmail下書き）,マーケティング部,オペレーション効率化,1,生成AI（LLM）,メールAPI（Gmail API/Outlook API）,テンプレート登録機能があると便利
21,文案ブラッシュアップ,「もう少し丁寧に」「もう少しカジュアルに」などトーンを変えた文案の候補を複数提案してほしい,元の文章、希望トーン指定,LLMにトーン変換プロンプト投入 → 複数パターン生成（3-5案） → 並列表示,文案バリエーション（Word/テキスト、3-5案）,マーケティング部,知的支援,1,生成AI（LLM）,なし,トーン指定は「丁寧/カジュアル/フォーマル/親しみやすい」など具体化推奨
22,営業トーク整理,よくある質問とその回答をFAQ化したい（営業トークにブレが出ないようにしたい）,過去の商談メモ、営業からの質問ログ,LLMで質問群をクラスタリング → 代表的なQ&A抽出 → 回答文のトーン統一,FAQ集（Excel/Word、カテゴリ別整理）,マーケティング部,知的支援,1,生成AI（LLM）,なし,定期更新が必要。新しい質問は随時追加
23,サマリー生成,長い社内ドキュメントの要約版（3分で読める版）を自動でほしい,社内ドキュメント（Word/PDF）,テキスト抽出 → LLMで要点抽出（分量指定：300-500字） → 箇条書き整形,3分要約版（Word/PDF）,マーケティング部,知的支援,1,生成AI（LLM）,PDF解析ライブラリ,長文は分割要約後にマージ。図表は要約対象外
24,会議議事録,会議音声からの議事録起こしと次アクション抽出を自動でほしい,会議音声ファイル（mp3/wav）,Whisper APIで文字起こし → LLMで議事録整形（発言者別・時系列） → 次アクション抽出,議事録（Word）+ アクションアイテムリスト（Excel）,マーケティング部,オペレーション効率化,1,音声認識API（Whisper）、生成AI（LLM）,なし,発言者識別は音声解析AIで可能だが精度限定的。手動補正前提
25,社内ナレッジ検索,過去の提案資料・議事録などから、似た案件の情報を横断的に探したい,【重要】検索クエリ、社内ドキュメント群（SharePoint/Google Drive）,【技術選定重要】ドキュメントをベクトルDB（Pinecone/Weaviate）に事前登録 → クエリをベクトル化して意味検索実行 → LLMで検索結果を要約・整理,関連ドキュメントリスト（タイトル・要約・URL付き）,マーケティング部,知的支援,3,ベクトルDB、RAG,LLM（埋め込み生成・要約用）、ドキュメント管理API,単純キーワード検索では不十分。意味的類似検索が必要なためRAG構築必須。初期インデックス作成に時間・コストがかかる
26,用語の定義整理,社内用語・業界用語・製品名などの略称や正式名称を揃えたい,社内ドキュメント群、既存用語集,LLMでドキュメント内用語抽出 → 表記ゆれ検出 → 正式名称との対応表作成,用語統一表（Excel、略称↔正式名称対応）,マーケティング部,オペレーション効率化,1,生成AI（LLM）,なし,正式名称は人間が最終確認必須
27,顧客向けドキュメントの読みやすさ調整,専門用語が多い資料を、顧客のリテラシーに合わせて噛み砕いた説明に変換してほしい,技術資料、顧客リテラシーレベル指定,LLMに平易化プロンプト投入 → 専門用語を平易な表現に変換 → 補足説明追加,平易版資料（Word/PowerPoint）,マーケティング部,知的支援,1,生成AI（LLM）,なし,医療・金融など専門性が高い分野では人間レビュー必須
28,プレスリリース案,新機能の紹介文や発表文の下書きがほしい,新機能概要、ターゲットメディア、発表目的,LLMにプレスリリーステンプレート適用 → 5W1H構成で下書き生成 → 引用可能な定型文フォーマット,プレスリリース下書き（Word、A4 1-2枚）,マーケティング部,知的支援,1,生成AI（LLM）,なし,法務・広報部門の最終確認必須。事実誤認チェック重要
29,営業資料の翻訳,英語⇔日本語の提案資料を素早く双方向に翻訳したい,PowerPoint/Word資料,LLMで翻訳（ビジネス文書モード） → 専門用語辞書で用語統一 → フォーマット維持,翻訳済み資料（PowerPoint/Word）,マーケティング部,オペレーション効率化,1,生成AI（LLM）,専門用語辞書API,業界用語はカスタム辞書登録推奨。機械翻訳後にネイティブチェック推奨
30,市場レポート作成,特定領域の市場規模・プレイヤー・特徴・参入ハードルを、1枚サマリにしてほしい,対象市場名、Web上の市場調査データ,Web検索・スクレイピングで情報収集 → LLMで構造化整理（市場規模/主要企業/特徴/参入障壁） → 1枚レポート形式に整形,市場サマリ1枚（PowerPoint）,マーケティング部,知的支援,2,Webスクレイピング、生成AI（LLM）,Web検索API,有料調査レポート情報は含められない。公開情報のみ
31,タグ付け・分類,リード情報や問い合わせ内容を自動でカテゴリ分けしたい,問い合わせメール、Salesforceリード情報,LLMでテキスト分類（業界/製品関心/緊急度など） → タグ自動付与 → Salesforceに反映,タグ付きリードデータ（Salesforce更新）,マーケティング部,オペレーション効率化,2,生成AI（LLM）、Salesforce API,なし,分類ルールは初期設定必要。精度は定期的に人間確認
32,優先度判断の支援,「この案件は今週中に対応したほうがいい？」という優先度アラートを出してほしい,Salesforce案件データ、案件履歴,LLMでルールベース判定（金額・期限・顧客ランク） → 優先度スコア算出 → 閾値超えでアラート送信,優先案件アラート（Slack/メール通知）,マーケティング部,知的支援,2,生成AI（LLM）、Salesforce API,Slack API、スケジューラ,スコアリングロジックは営業部門と合意形成必要
33,社内共有資料,定例会用の進捗共有スライドのドラフトを作ってほしい,Salesforceデータ、KPI数値、先週のアクション,データ取得 → テンプレートに数値自動埋め込み → LLMでコメント生成,進捗報告スライド下書き（PowerPoint）,マーケティング部,オペレーション効率化,2,Salesforce API、生成AI（LLM）,PowerPoint API,定期実行設定でさらに効率化可能
34,FAQ作成,製品に関するよくある質問と回答集を、ユーザー向けにわかりやすく整形してほしい,問い合わせログ、製品マニュアル,LLMで質問をクラスタリング → 代表Q抽出 → わかりやすい回答文生成 → カテゴリ別整理,FAQ集（HTML/PDF、カテゴリ別）,マーケティング部,知的支援,1,生成AI（LLM）,なし,回答の正確性は製品担当者確認必須
35,QAサポート,お客様からの問い合わせメールに対する一次回答案を自動で生成してほしい,問い合わせメール本文、FAQ/製品マニュアル,メール内容解析 → FAQ/マニュアルから関連情報検索 → LLMで回答文生成 → 人間確認待ちステータスで保存,回答案メール下書き（メールツール下書き）,マーケティング部,知的支援,2,生成AI（LLM）、RAG,メールAPI,誤回答リスクあり。必ず人間確認後送信。RAGでナレッジベース参照推奨
36,社内定例の議事録サマリ,定例の目的・決定事項・TODOだけを短くまとめたものが欲しい（長文全部いらない）,議事録全文（Word/テキスト）,LLMで構造化抽出（目的/決定事項/TODO） → 各項目を箇条書き化,サマリ議事録（Word、A4 1枚以内）,マーケティング部,知的支援,1,生成AI（LLM）,なし,抽出精度は議事録のフォーマット統一度に依存
37,プロジェクト進捗管理,Slackやメモに散らばっているTODOを1つの一覧にまとめたい,Slackメッセージ履歴、個人メモ、メール,Slack API経由でメッセージ取得 → LLMでTODO抽出 → 担当者・期限・ステータス構造化,TODO一覧（Excel/Notion、担当者・期限付き）,マーケティング部,オペレーション効率化,2,Slack API、生成AI（LLM）,メールAPI,複数ソース統合のため各APIアクセス権限設定必要
38,スケジュール調整,打ち合わせ候補日・議題・目的を含んだ日程調整メールを最初から組んでほしい,候補日時リスト、会議目的、参加者情報,カレンダーAPI（Googleカレンダー/Outlook）で空き時間取得 → LLMで日程調整メール文面生成,日程調整メール下書き（メールツール下書き）,マーケティング部,オペレーション効率化,2,カレンダーAPI、生成AI（LLM）,メールAPI,参加者の空き時間統合はカレンダー共有権限必要
39,レポート作成,「今週の進捗・課題・次の一手」を定型フォーマットに沿って自動でまとめたい,Salesforceデータ、Slackログ、個人メモ,各ソースからデータ収集 → LLMでテンプレート埋め込み（進捗/課題/次アクション） → 整形,週次レポート（Word/PowerPoint、定型フォーマット）,マーケティング部,オペレーション効率化,2,Salesforce API、生成AI（LLM）,Slack API,テンプレート事前定義必要。定期実行で自動化可能
40,会議アジェンダ,目的・前提情報・決めたいことを並べた会議アジェンダの叩き台を自動作成したい,会議目的、関連資料・議事録,LLMにアジェンダ生成プロンプト投入 → 構成案（目的/前提/論点/決定事項）作成,会議アジェンダ（Word、時間配分付き）,マーケティング部,知的支援,1,生成AI（LLM）,なし,時間配分は人間が最終調整推奨
41,データ収集,特定の業界・企業の数値データ（売上規模、社員数、資金調達など）を構造化して一覧化したい,企業リスト、収集項目定義,Webスクレイピング（企業サイト・IR資料） → LLMで数値抽出・構造化 → Excel表形式に整形,企業データ一覧（Excel、列：企業名/売上/社員数等）,マーケティング部,データ活用,2,Webスクレイピング、生成AI（LLM）,なし,非公開情報は取得不可。IR資料公開企業のみ対象
42,社内教育資料,新人向けのインプット資料を簡潔な形にして配りたい（長い資料を圧縮したい）,既存教育資料（PowerPoint/Word）,LLMで要点抽出 → 初学者向けに平易化 → 図解化推奨箇所を提案,簡易版教育資料（PowerPoint/PDF、枚数半減目安）,マーケティング部,知的支援,1,生成AI（LLM）,なし,専門知識の正確性は教育担当者確認必須
43,投稿文章チェック,社外公開前の文書で、言い回しが誤解を生まないかチェックしてほしい（炎上回避視点）,公開予定文章（SNS投稿・プレスリリース）,LLMで表現リスク判定（差別的表現・誤解を招く表現） → 代替案提案,チェック結果レポート（問題箇所ハイライト+修正案）,マーケティング部,知的支援,1,生成AI（LLM）,なし,最終判断は広報・法務部門。AIは補助的役割
44,リサーチの深掘り,「この課題の背景って何？」に対して、社会的背景・法的背景・業界の構造などを整理した説明を作ってほしい,課題テーマ,Web検索・論文検索で関連情報収集 → LLMで背景要因分析（社会/法律/業界構造） → 構造化レポート生成,背景分析レポート（Word、3-5枚）,マーケティング部,知的支援,2,Web検索API、生成AI（LLM）,学術検索API,複数視点での調査が必要。情報源の信頼性確認重要
45,よくある質問の更新,新しく出てきた質問を、既存のFAQにマージして最新版に保ちたい,新規質問、既存FAQ,LLMで新規質問と既存FAQの類似度判定 → 重複なら統合、新規なら追加 → FAQ全体を再構成,更新版FAQ（HTML/PDF）,マーケティング部,オペレーション効率化,1,生成AI（LLM）,なし,FAQ管理システムがあれば自動反映可能
46,商談メモ整理,商談メモから「次回提案すべきこと」「優先課題」「担当者の温度感」だけを抽出したい,商談議事録・メモ,LLMで構造化抽出（次回提案/優先課題/温度感） → 各項目を箇条書き化,商談サマリ（Word/Excel、項目別）,マーケティング部,知的支援,1,生成AI（LLM）,なし,温度感判定は主観的。営業担当の最終確認推奨
47,データの整備,Salesforceのデータのうち明らかにおかしい・足りないものを機械的に教えてほしい,Salesforce全データ（CSV/API経由）,Salesforce API経由でデータ取得 → 異常値検知ロジック（欠損・重複・範囲外・フォーマット不正） → 問題データリスト化,データ品質レポート（Excel、問題箇所一覧）,マーケティング部,データ活用,2,Salesforce API,Python（データ検証ロジック）,検証ルールは事前定義必要。定期実行で継続的品質管理可能
48,社内アナウンス文作成,全員向け連絡の文案を整えてほしい（長すぎず・冷たすぎず・でも抜け漏れなく）,アナウンス内容（箇条書き）,LLMでトーン調整（親しみやすく・簡潔に） → 必須情報の抜け漏れチェック → 文面整形,アナウンス文（メール/Slack投稿用テキスト）,マーケティング部,知的支援,1,生成AI（LLM）,なし,重要連絡は複数人レビュー推奨
49,営業視点での成功仮説,「この業界のどこに一番刺さりそうか」を初期仮説としてサマってほしい,対象業界名、自社製品概要,LLMに業界分析プロンプト投入 → ペインポイント推定 → 自社製品とのマッチング度判定,成功仮説サマリ（Word、A4 1枚）,マーケティング部,知的支援,1,生成AI（LLM）,Web検索API,仮説は営業現場で検証必須。初期方向性決めに有効
50,社内ディスカッション用たたき台,「こういう新サービスどう？」というアイデアの筋書きの初稿を一緒に考えてほしい,サービスアイデア概要,LLMにビジネスモデルキャンバス適用 → 顧客価値・収益モデル・実現性を整理 → 論点・リスクも抽出,アイデア企画書（PowerPoint、3-5枚）,マーケティング部,知的支援,1,生成AI（LLM）,なし,たたき台なので精度より速度重視。ディスカッションで精緻化
51,問い合わせ対応,お客様からの問い合わせを自動でSalesforceに起票したい,問い合わせメール（自動転送設定）,メール受信トリガー → LLMで内容分類・優先度判定 → Salesforce API経由でケース起票,Salesforceケース（自動起票）,マーケティング部,オペレーション効率化,2,Salesforce API、生成AI（LLM）,メールAPI,メール転送ルール設定必要。誤起票対策で人間確認フロー推奨
52,リードナーチャリング,見込み顧客に送るフォロー内容を、顧客属性に応じて提案してほしい,Salesforceリード情報、過去のエンゲージメント履歴,LLMで顧客属性分析（業界・関心度・検討段階） → 最適なフォロー内容提案（事例紹介/ウェビナー案内等）,フォロー施策提案（Excel、リード別）,マーケティング部,知的支援,2,生成AI（LLM）、Salesforce API,MAツール連携,MA（Marketing Automation）ツールと連携で自動配信可能
53,顧客セグメント別の訴求軸,「業界Aならこういう効果を前面に押すべき」など、セグメント別に訴求すべきメッセージを整理してほしい,顧客セグメント定義、自社製品機能,LLMでセグメント別ペインポイント推定 → 訴求メッセージマトリクス作成,訴求軸マトリクス（Excel、セグメント×訴求ポイント）,マーケティング部,知的支援,1,生成AI（LLM）,なし,実際の顧客反応で検証・更新が必要
54,価格感の説明,顧客に対して価格の正当性を論理的に説明するための言い回し集がほしい,製品価格、提供価値、競合価格情報,LLMで価値ベース価格説明ロジック生成 → 複数パターン（ROI/TCO/競合比較）作成,価格説明トークスクリプト（Word）,マーケティング部,知的支援,1,生成AI（LLM）,なし,金額の正確性は人間が必ず確認
55,反応の記録,営業現場での顧客の反応・よく刺さるワードなどを簡単にナレッジ化したい,営業メモ、商談議事録,LLMで顧客反応・キーワード抽出 → 効果的表現をタグ付け・分類 → ナレッジDB登録,ナレッジ集（Excel/Notion、タグ付き）,マーケティング部,知的支援,1,生成AI（LLM）,なし,継続的な蓄積で精度向上。営業部門との共有重要
56,イベント準備,登壇資料・展示ブース資料・配布物のドラフトをまとめてほしい,イベント概要、自社アピールポイント,LLMで各種資料の骨子生成 → PowerPoint/チラシ形式ドラフト作成,イベント資料一式（PowerPoint、チラシPDF下書き）,マーケティング部,知的支援,1,生成AI（LLM）,PowerPoint API,デザインは別途デザイナー調整推奨
57,イベント後フォロー,名刺交換相手ごとのフォロー内容を自動案出してほしい,名刺情報（名前・企業・役職）、会話メモ,LLMで会話内容分析 → 相手の関心度・次アクション提案 → パーソナライズメール案生成,フォローメール案（個別、Excelリスト）,マーケティング部,知的支援,2,生成AI（LLM）,OCR（名刺読取）,名刺のOCR読取精度に注意。手動補正前提
58,提案依頼対応,RFPや要件定義書を読み、顧客が本当に欲しそうなことを要約してほしい,RFP文書（PDF/Word）,LLMで要件抽出 → 明示的要件と暗黙的ニーズを分類 → 優先度付け,RFP要約（Word、要件リスト+分析コメント）,マーケティング部,知的支援,1,生成AI（LLM）,PDF解析ライブラリ,長文RFPは分割処理。最終解釈は提案担当者確認必須
59,施策の効果推定,「この施策をやったらどれくらい売上／リードが伸びそう？」というラフな試算のたたきを作ってほしい,施策内容、過去実績データ、予算,LLMで類似施策実績検索 → 簡易ROI試算（係数ベース） → 前提条件明記,効果試算レポート（Excel、シミュレーション表）,マーケティング部,知的支援,2,生成AI（LLM）,統計分析（簡易）,精密予測ではなくラフな方向性判断用。前提条件明記重要
60,契約書・申込書チェック,フォーマットに沿って、漏れや記入ミスがないか確認したい,【重要】契約書・申込書PDF/Word、チェックリスト,LLMでフォーマット項目抽出 → チェックリストと突合 → 欠損・記入ミスリスト化,チェック結果レポート（Excel、問題箇所一覧）,マーケティング部,オペレーション効率化,2,生成AI（LLM）、OCR,なし,【法的解釈や契約内容の妥当性判断は含まない】形式チェックのみ。法務確認は別途必須。No.65とは異なり既存文書の検証のみ
61,売上・粗利の管理,数値を入れると自動でグラフやコメント（良い／悪い／注意点）をつけてほしい,売上・粗利データ（Excel/CSV）,データ取込 → グラフ自動生成（BIツールまたはPython） → LLMでトレンド分析コメント生成,ダッシュボード（Excel/Tableau、グラフ+コメント付き）,マーケティング部,データ活用,2,BIツール、生成AI（LLM）,Python（グラフ生成）,閾値設定（目標比・前年比など）で自動判定可能
62,案件パイプライン管理,進行中の案件のステータスを1枚で見えるようにして、次にやるべきことを示してほしい,Salesforce案件データ,Salesforce API経由でパイプライン取得 → ステージ別集計・可視化 → LLMで次アクション提案,パイプラインダッシュボード（PowerPoint/Tableau 1枚）,マーケティング部,データ活用,2,Salesforce API、BIツール,LLM（アクション提案用）,リアルタイム更新ならBIツールダッシュボード推奨
63,月次レポート作成,月次の活動内容・成果・課題をまとめた報告書のドラフトがほしい,Salesforceデータ、活動ログ、KPI数値,データ集約 → テンプレートに数値自動埋め込み → LLMで成果・課題コメント生成,月次レポート（PowerPoint/Word、定型フォーマット）,マーケティング部,オペレーション効率化,2,Salesforce API、生成AI（LLM）,スケジューラ（月初自動実行）,テンプレート定義で自動化可能。定期実行推奨
64,契約更新フォロー,更新時期が近い顧客に、状況確認連絡文面を出してほしい,Salesforce契約データ（更新日付）,更新日付監視 → 30日前などでトリガー → LLMで状況確認メール生成 → 下書き保存,フォローメール下書き（個別、メールツール下書き）,マーケティング部,オペレーション効率化,2,Salesforce API、生成AI（LLM）,メールAPI、スケジューラ,定期実行で自動化。メール送信は人間確認後推奨
65,契約書ドラフト,定型の契約書や覚書の初稿を自動で生成したい（法務最終確認前のたたき）,【重要】契約条件（当事者・金額・期間等）、契約書テンプレート,契約条件入力 → 既存テンプレートに自動埋め込み → LLMで文言整合性チェック,契約書ドラフト（Word）,マーケティング部,オペレーション効率化,2,生成AI（LLM）,なし,【法的拘束力ある文書のため法務最終確認必須】定型契約に限定。複雑な契約は人間が作成。No.60とは異なり新規作成
66,社内合意形成,稟議や意思決定のための「背景・目的・リスク・お願いしたいこと」を短く整理した文面がほしい,稟議内容（箇条書き）,LLMで稟議フォーマット適用 → 論理構成整理（背景→目的→リスク→依頼事項） → 簡潔化,稟議文書（Word、A4 1-2枚）,マーケティング部,知的支援,1,生成AI（LLM）,なし,最終的な承認判断は人間。文面整理のみ
67,事例紹介資料,個別顧客の成果や導入効果を1枚で説明できる「事例シート」のひな形を作りたい,顧客事例情報（成果・課題・効果）,LLMで事例ストーリー構成（課題→導入→効果） → 1枚シートレイアウト生成,事例シート（PowerPoint 1枚）,マーケティング部,知的支援,1,生成AI（LLM）,PowerPoint API,顧客の掲載許諾取得必須。数値は正確性確認必要
68,価格交渉準備,値下げ要望に対して、どこまで譲れるのか・どこは譲れないのかの論点整理をしたい,価格構造、原価情報、交渉履歴,LLMで交渉シナリオ生成 → 譲歩可能ライン・譲歩不可ライン整理 → 代替提案案出,交渉論点整理（Word/Excel）,マーケティング部,知的支援,1,生成AI（LLM）,なし,機密情報（原価等）の取り扱い注意。最終判断は経営層
69,社外向けレポート,顧客企業向けのサマリレポート（定例報告書）の初稿を自動で作りたい,サービス利用データ、KPI数値,データ集約 → 顧客向けレポートテンプレート適用 → LLMで成果・提案コメント生成,顧客向けレポート（PowerPoint/PDF、定型フォーマット）,マーケティング部,オペレーション効率化,2,生成AI（LLM）,BIツール（データ可視化）,顧客別カスタマイズが必要。テンプレート定義で効率化
70,営業同行準備,商談に入る前に、その企業の最新ニュースや業界状況を短くまとめてほしい,対象企業名、商談日時,Web検索・ニュースAPI実行 → 企業ニュース・業界動向収集 → LLMで要約（3分で読める量）,事前情報サマリ（Word、A4 1枚）,マーケティング部,知的支援,1,Web検索API、生成AI（LLM）,ニュースAPI,商談前日に自動実行設定すると便利
71,提案時の論点整理,「相手の決裁者が気にしそうな懸念点・リスク」を事前に洗い出しておきたい,提案内容、顧客企業情報,LLMで決裁者視点の懸念事項推定 → リスク分類（コスト/導入負荷/効果不確実性等） → 対応案提案,論点・懸念事項リスト（Excel/Word）,マーケティング部,知的支援,1,生成AI（LLM）,なし,推定精度は限定的。実際の商談で検証必要
